Partlist

Exported from fpga_shield.brd at 10/08/2018 2:50 PM

EAGLE Version 9.1.2 Copyright (c) 1988-2018 Autodesk, Inc.

Assembly variant: 

Part     Value                                              Package                   Library      Position (mm)         Orientation

ADC      HMCAD1511                                          QFN50P700X700X100-49N     HMCAD1511    (28.59 34.23)         R270
AMP      LMH6522_NJY_54                                     SQA54A                    LMH6522      (75.39 37)            R180
C1       1uF                                                C0805                     rcl          (92.54 9.46)          R0
C2       0.1uF                                              C0805                     rcl          (83.61 11.89)         R270
C11      0.1uF                                              C0805                     rcl          (73.26 44.11)         R0
C12      0.1uF                                              C0805                     rcl          (67.18 43.04)         R180
C13      0.1uF                                              C0805                     rcl          (68.46 25.53)         R270
C14      0.1uF                                              C0805                     rcl          (68.38 37.54)         R180
C15      0.01u                                              C0805                     rcl          (50.42 22.59)         R180
C16      0.01u                                              C0805                     rcl          (50.42 25.17)         R180
C17      0.01u                                              C0805                     rcl          (54.42 31.34)         R180
C18      0.01u                                              C0805                     rcl          (54.42 33.92)         R180
C19      0.01u                                              C0805                     rcl          (50.42 39.8575)       R180
C20      0.01u                                              C0805                     rcl          (50.458 42.462)       R180
C21      0.01u                                              C0805                     rcl          (54.42 48.6175)       R180
C22      0.01u                                              C0805                     rcl          (54.42 51.0025)       R180
C23      22pF                                               C0805                     rcl          (42.336 23.731)       R90
C24      22pF                                               C0805                     rcl          (46.418 32.564665625) R90
C25      22pF                                               C0805                     rcl          (42.185 41.16733125)  R90
C26      22pF                                               C0805                     rcl          (46.789 49.823996875) R90
C27      1000uF                                             150CLZ-1010               rcl          (76.4 9.16)           R90
C28      1000uF                                             150CLZ-1010               rcl          (62.83 9.16)          R90
C29      1000uF                                             150CLZ-1010               rcl          (50 9.16)             R90
C30      1000uF                                             150CLZ-1010               rcl          (34.19 9.73)          R90
C31      0.1uF                                              C0805                     rcl          (29.08 44.65)         R90
C32      0.1uF                                              C0805                     rcl          (32.16 44.65)         R90
C33      0.1uF                                              C0805                     rcl          (25.74 44.65)         R90
C34      0.1uF                                              C0805                     rcl          (32.542 25.863)       R270
C35      0.1uF                                              C0805                     rcl          (28.792 25.701)       R270
CH1      5-1814832-1                                        TE_5-1814832-1            5-1814832-1  (83.16 24.59)         R0
CH2      5-1814832-1                                        TE_5-1814832-1            5-1814832-1  (92.16 32.35)         R0
CH3      5-1814832-1                                        TE_5-1814832-1            5-1814832-1  (92.16 42.15)         R0
CH4      5-1814832-1                                        TE_5-1814832-1            5-1814832-1  (83.16 49.45)         R0
L9       1uH                                                INDC2518X180              Passives     (58.44 21.2625)       R90
L10      1uH                                                INDC2518X180              Passives     (58.44 26.3175)       R270
L11      1uH                                                INDC2518X180              Passives     (62.44 30.1925)       R90
L12      1uH                                                INDC2518X180              Passives     (62.44 35.0675)       R270
L13      1uH                                                INDC2518X180              Passives     (58.44 38.71)         R90
L14      1uH                                                INDC2518X180              Passives     (58.44 43.6095)       R270
L15      1uH                                                INDC2518X180              Passives     (62.44 47.47)         R90
L16      1uH                                                INDC2518X180              Passives     (62.44 52.15)         R270
R1       22                                                 R0805                     rcl          (45.1 21.58)          R90
R2       22                                                 R0805                     rcl          (45.1 26.08)          R90
R3       22                                                 R0805                     rcl          (48.828 30.398)       R90
R4       22                                                 R0805                     rcl          (48.828 34.898)       R90
R5       22                                                 R0805                     rcl          (44.902 38.882)       R90
R6       22                                                 R0805                     rcl          (44.902 43.382)       R90
R7       22                                                 R0805                     rcl          (49.386 47.671)       R90
R8       22                                                 R0805                     rcl          (49.366 51.984)       R90
R9       22                                                 R0805                     rcl          (54.92 22.59)         R180
R10      22                                                 R0805                     rcl          (54.92 25.17)         R180
R11      22                                                 R0805                     rcl          (58.92 31.34)         R180
R12      22                                                 R0805                     rcl          (58.92 33.92)         R180
R13      22                                                 R0805                     rcl          (54.92 39.8575)       R180
R14      22                                                 R0805                     rcl          (54.958 42.462)       R180
R15      22                                                 R0805                     rcl          (58.92 48.6175)       R180
R16      22                                                 R0805                     rcl          (58.92 51.0025)       R180
R17      100                                                R0603                     rcl          (12.04 48.98)         R270
R18      100                                                R0603                     rcl          (2.56 48.15)          R90
R19      100                                                R0603                     rcl          (2.37 44.15)          R90
R20      100                                                R0603                     rcl          (2.68 30.15)          R90
R21      100                                                R0603                     rcl          (2.828 24.993)        R90
R22      100                                                R0603                     rcl          (2.8 20.15)           R90
R23      100                                                R0603                     rcl          (2.61 16.15)          R90
R24      100                                                R0603                     rcl          (2.829 10.112)        R90
R25      100                                                R0603                     rcl          (2.73 6.65)           R90
R26      100                                                R0603                     rcl          (2.54 2.65)           R90
R28      2000                                               R0805                     rcl          (72.5 25)             R270
SV1                                                         FE20-2                    con-lsta     (7.27 26.57)          R270
SV2                                                         MA05-1                    con-lstb     (97.27 8.2862)        R90
SV3                                                         MA05-1                    con-lstb     (103.39 8.2862)       R90
SV4                                                         MA05-1                    con-lstb     (99.2138 19.51)       R180
U2       MICROCHIP_MCP1525T-I-TTMICROCHIP_MCP1525T-I-TT_0_1 MICROCHIP_MCP1525T-I-TT_1 MCP1525-TT   (88.46 11.86)         R90
VCO_TUNE MCP4921-E_SN                                       SOIC127P600X175-8N        MCP4921-E_SN (88.43 5.585)         R0
VREG1    TLV75718PDBVR                                      SOT95P240X110-5           Tl757p       (41.27 16.53)         R180
